gender,num_of_module_created,num_of_modules_thirty_sec,num_of_problens,num_of_video,num_of_problem_uploads,average_grade,seventy_uploads,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,Grand_Total
1,21,9,7,5,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1,22
1,103,28,57,10,6.0,0.67,0,1,0,0,0,0,0,0,1,1,0,104
1,4,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,5
1,70,56,36,13,25.0,0.88,0,1,0,0,0,0,0,0,1,1,1,71
1,8,4,2,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,9
1,23,12,7,4,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1,24
1,5,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,6
1,55,35,25,6,14.0,0.92,0,0,0,0,0,0,0,0,1,1,1,56
1,2,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,3
1,11,6,2,2,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1,12
2,10,3,3,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,11
1,24,20,7,8,4.0,1.0,0,0,0,0,0,0,0,0,0,0,1,25
1,36,9,13,5,0.0,0.0,0,0,1,0,0,0,0,0,0,0,1,37
1,8,4,2,1,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,9
1,42,26,19,6,10.0,1.0,0,0,0,0,0,0,0,0,0,1,1,43
2,153,127,80,26,60.0,1.0,0,1,1,0,0,1,0,1,1,1,1,154
1,33,27,17,5,14.0,1.0,0,0,0,0,0,0,0,0,1,1,0,34
1,16,3,4,1,1.0,1.0,0,0,0,0,0,0,0,0,0,1,1,17
1,60,27,31,7,10.0,1.0,0,1,0,0,0,0,0,0,1,0,0,61
1,58,43,25,10,16.0,1.0,0,0,0,0,0,0,0,0,1,1,1,59
1,36,17,13,5,4.0,0.0,0,0,0,0,0,0,0,0,0,1,1,37
1,23,15,7,5,3.0,1.0,0,0,0,0,0,0,0,0,0,0,1,24
1,2,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,3
2,24,16,7,3,4.0,1.0,0,0,0,0,0,0,0,0,0,0,1,25
1,9,0,2,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,10
1,7,5,2,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,8
1,20,8,7,3,2.0,1.0,0,0,0,0,0,0,0,0,0,0,1,21
1,24,19,7,6,4.0,0.94,0,0,0,0,0,0,0,0,0,0,1,25
1,106,76,55,19,32.0,1.0,0,1,0,0,0,0,0,0,1,1,1,107
1,147,97,74,23,37.0,0.94,0,1,0,0,0,1,0,1,1,1,1,148
1,54,35,24,8,12.0,1.0,0,0,0,0,0,0,0,0,1,1,1,55
2,23,11,7,4,3.0,1.0,0,0,0,0,0,0,0,0,0,0,1,24
1,164,123,84,29,50.0,0.97,0,1,1,0,0,1,1,1,1,1,1,165
2,2,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,3
1,58,31,27,10,10.0,1.0,0,0,1,0,0,0,0,0,1,1,1,59
1,23,13,7,6,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,24
